Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0548667587320485,0.0803611343666108,0.0897569086344725,0.109940042004685,0.165573354936329,0.239506900543419,0.304230215945755,0.408965290862913,0.335061035441608,0.29808781267706,0.283692395910162,0.297971774718822,0.268358772656602,0.281195815732375,0.299082634225993,0.297563650500103,0.223478872007068,0,0,0
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,70.8908406524467,74.0618101545254,70.7557502738226,72,68.6548223350254,87.1766029246344,85.9865470852018,82.4875621890547,85.9099804305284,78.6364080993837,85.3235490326885,86.0501112508465,0,0,0,0,0,0,0,0
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,44.24,33.88,31.89,28.78,21.17,16.53,15.15,12.61,15.36,16.86,18.93,17.53,19.92,19.21,17.96,18.51,17.58,17.86,0,0
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.42794420369885,1.36009220693963,1.36398860235111,1.43379650688868,1.42824958589414,1.49211670359782,1.64276192996892,1.76810850906738,1.5659214019027,1.65638950333875,1.79571244233506,1.66521852478371,1.5900693334483,1.88055711291312,1.85464154039805,1.74946245713759,1.54455011524574,0,0,0
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,97.5026757046022,98.713944515892,98.3164373642288,97.4825174825175,100,99.9807766243752,99.9867864693446,98.5922214268671,100,100,100,100,0,0,0,0,0,0,0,0
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,35.84,36.77,31.62,32,35.79,37.09,36.99,35.84,39.91,41.14,38.56,38.49,39.44,36.94,37.83,40.11,44.58,0,0,0
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.75275878150928,2.85792656968889,2.98514913079317,3.02350291507781,3.11677094713759,3.1870690441654,3.18435699969857,3.30523251701306,3.6213677179274,3.65846867891071,3.81152114717356,3.95196093867474,3.83383422168475,3.83368112626665,3.92429872230088,3.99440182789199,3.7182233703076,0,0,0
Algeria,DZA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.8032,1.63644405130473,0.618861068528928,0.607592214216582,0.703350233621632,0.794784551050622,0.380460926225565,0.980009370607528,1.08368033172465,0.55101018533979,0.395379969490365,0.322683798947644,0,0,0,0,0,0,0,0
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.44,0.58,0.41,0.41,0.3,0.31,0.26,0.18,0.18,0.13,0.07,0.06,0.08,0.14,0.19,0.16,0.15,0,0,0
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.28675600847491,7.20627364517826,6.80540008227272,6.89038992938287,7.08182236539346,6.99539619780101,7.22359093387771,6.95758640724418,6.86229281962458,6.67423318900893,6.44593066279443,6.48576924149081,6.46528811690102,6.30209786421442,6.59405703011478,6.2872038038851,5.77714799227799,0,0,0
Andorra,AND,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,98.936170212766,98.8235294117647,94.5945945945946,75,80.0508259212198,76.5432098765432,88.7311446317657,86.5131578947369,86.6894197952219,88.7532693984307,89.4321766561514,86.1167002012072,0,0,0,0,0,0,0,0
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,16.57,16.61,17.57,16.56,17.02,17.13,18.67,18.55,18.76,19.14,19.45,19.32,19.3,19.02,18.58,18.46,21.86,20.59,0,0
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.929811079517077,0.812875087547097,0.821263801721427,0.811413505818644,0.888609844897006,0.939457360187463,0.975916771759854,0.983787081068222,0.947583107262692,1.0310436355189,1.0914970571178,1.12518536428885,1.01255212444657,0.829723216824015,0.755827619476188,0.753638205444169,0.592742967779037,0,0,0
